English,Russian
right,верно
their,их
only,Только
walk,ходить
make,делать
got,получил
try,пытаться
something,что-нибудь
room,номер
again,очередной раз
thing,вещь
after,после
still,по-прежнему
thought,мысль
door,дверь
here,здесь
too,тоже
little,маленький
because,так как
why,Зачем
away,далеко
let,позволять
take,брать
two,два
start,Начало
good,хорошо
where,где
never,никогда
through,через
day,день
much,много
tell,рассказать
wasn't,не было
girl,девочка
feel,Чувствовать
oh,ой
you're,Вы
call,вызов
talk,говорить
will,будут
long,длинный
than,чем
us,нас
made,сделал
friend,друг
knew,знал
open,открыто
need,нужно
first,первый
which,который
people,люди
that's,это
went,пошли
sure,Конечно
seem,казаться
stop,останавливаться
voice,голос
very,очень
felt,чувствовал
took,взял
our,наш
pull,тянуть
laugh,смех
man,человек
okay,хорошо
close,Закрыть
any,любой
came,пришел
told,сказал
love,любовь
watch,смотреть
arm,рука
anything,что-нибудь
I'll,Больной
though,хоть
put,ставить
left,оставил
work,Работа
guy,парень
hair,волосы
next,следующий
couldn't,не может
yeah,Ага
while,пока
mean,иметь в виду
home,дом
few,немного
saw,увидел
place,место
school,школа
help,помощь
wait,ждать
late,поздно
year,год
can't,не может
house,жилой дом
happen,случаться
last,последний
always,всегда
move,двигаться
old,Старый
night,ночь
nod,кивок
life,жизнь
give,дайте
sit,сидеть
stare,глазеть
sat,сидел
should,должен
moment,момент
another,Другой
behind,за
side,боковая сторона
sound,звук
once,однажды
find,найти
toward,к
boy,мальчик
ever,Когда-либо
nothing,ничего такого
front,фронт
mother,мама
name,название
am,являюсь
since,поскольку
reply,Ответить
he's,он
myself,сам
leave,покинуть
bed,кровать
new,новый
car,машина
use,использовать
mind,разум
maybe,может быть
has,имеет
heard,слышал
answer,отвечать
minute,минут
yes,да
until,до того как
both,оба
found,нашел
end,конец
small,небольшой
I'd,Идентификатор
word,слово
someone,кто-то
same,одно и тоже
enough,достаточно
began,начал
run,запустить
bit,немного
sigh,вздох
each,каждый
those,те
almost,почти
against,против
everything,все
most,наиболее
thank,благодарить
wouldn't,не будет
mom,Мама
better,лучше
play,играть
I've,Я
own,собственный
every,каждый
hard,жесткий
remember,помнить
three,три
stood,стоял
live,жить
stand,стоять
second,второй
sorry,Извините
keep,хранить
finally,наконец-то
point,точка
gave,дал
already,уже
actually,фактически
probably,наверное
himself,сам
big,большой
everyone,все
guess,угадать
lot,много
step,шаг
hey,Привет
hear,слышать
light,свет
quickly,быстро
dad,папа
kiss,целовать
black,чернить
pick,выбирать
else,еще
soon,скоро
shoulder,плечо
table,Таблица
best,Лучший
without,без
notice,уведомление
stay,остаться
care,забота
phone,Телефон
reach,достигать
realize,понимать
follow,следить
decide,решать
kind,своего рода
she's,она
grab,схватить
he'd,он
show,показывать
inside,внутри
suddenly,"вдруг, внезапно"
father,отец
rest,отдых
herself,саму себя
grin,ухмылка
hour,час
hope,надеяться
also,также
body,тело
might,мощь
hadn't,не имел
floor,пол
its,это
continue,Продолжать
ran,RAN
across,через
hold,держать
cry,плакать
half,половина
pretty,симпатичный
great,большой
course,курс
mouth,рот
class,класс
kid,дитя
miss,скучать
wonder,удивляться
morning,утро
least,наименее
nice,красивый
dark,темный
slowly,медленно
done,Выполнено
change,менять
doesn't,не
together,все вместе
yet,еще
question,вопрос
anyway,в любом случае
bad,Плохо
blue,синий
believe,полагать
week,неделя
God,Бог
lip,губа
Mr.,Мистер.
sleep,спать
fine,отлично
what's,какой
family,семья
many,многие
worry,волноваться
roll,рулон
parent,родитель
under,под
surprise,сюрприз
water,вода
onto,на
we're,были
glance,взглянуть мельком
wall,стена
between,между
seen,видимый
read,читать
window,окно
idea,идея
white,белый
push,толкать
feet,ноги
must,должен
such,такой
seat,сиденье
set,набор
please,пожалуйста
red,красный
brother,родной брат
these,эти
whole,весь
lean,худой
part,часть
person,человек
slightly,немного
pass,проходить
shook,встряхнул
fact,факт
